Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
10622	S06.818	Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to other cause prior to regaining consciousness	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10623	S06.819	Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of unspecified duration	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10624	S06.820	Injury of left internal carotid artery, intracranial portion, not elsewhere classified without loss of consciousness	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10625	S06.821	Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 30 minutes or less	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10626	S06.822	Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10627	S06.823	Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10628	S06.824	Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 6 hours to 24 hours	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10629	S06.825	Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10630	S06.826	Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10631	S06.827	Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10632	S06.828	Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to other cause prior to regaining consciousness	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10633	S06.829	Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of unspecified duration	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10668	S09.0	Injury of blood vessels of head, not elsewhere classified	4-char nonbill code	Condition	ICD10CM	Valid	Non-standard
17734	T38.6X1	Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, accidental (unintentional)	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
17735	T38.6X2	Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, intentional self-harm	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
17736	T38.6X3	Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, assault	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
17737	T38.6X4	Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, undetermined	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
17812	T39.4X1	Poisoning by antirheumatics, not elsewhere classified, accidental (unintentional)	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
17813	T39.4X2	Poisoning by antirheumatics, not elsewhere classified, intentional self-harm	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
17814	T39.4X3	Poisoning by antirheumatics, not elsewhere classified, assault	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
17815	T39.4X4	Poisoning by antirheumatics, not elsewhere classified, undetermined	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
17818	T39.8X1	Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, accidental (unintentional)	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
17819	T39.8X2	Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
17820	T39.8X3	Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, assault	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
17821	T39.8X4	Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, undetermined	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19118	T65.6X1	Toxic effect of paints and dyes, not elsewhere classified, accidental (unintentional)	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19119	T65.6X2	Toxic effect of paints and dyes, not elsewhere classified, intentional self-harm	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19120	T65.6X3	Toxic effect of paints and dyes, not elsewhere classified, assault	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19121	T65.6X4	Toxic effect of paints and dyes, not elsewhere classified, undetermined	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19328	T81.31	Disruption of external operation (surgical) wound, not elsewhere classified	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19329	T81.32	Disruption of internal operation (surgical) wound, not elsewhere classified	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19385	T81.710	Complication of mesenteric artery following a procedure, not elsewhere classified	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19386	T81.711	Complication of renal artery following a procedure, not elsewhere classified	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19387	T81.718	Complication of other artery following a procedure, not elsewhere classified	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19388	T81.719	Complication of unspecified artery following a procedure, not elsewhere classified	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19389	T81.72	Complication of vein following a procedure, not elsewhere classified	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19392	T81.89	Other complications of procedures, not elsewhere classified	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19730	T85.81	Embolism due to internal prosthetic devices, implants and grafts, not elsewhere classified	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19731	T85.82	Fibrosis due to internal prosthetic devices, implants and grafts, not elsewhere classified	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19732	T85.83	Hemorrhage due to internal prosthetic devices, implants and grafts, not elsewhere classified	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19733	T85.84	Pain due to internal prosthetic devices, implants and grafts, not elsewhere classified	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19734	T85.85	Stenosis due to internal prosthetic devices, implants and grafts, not elsewhere classified	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19735	T85.86	Thrombosis due to internal prosthetic devices, implants and grafts, not elsewhere classified	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19736	T85.89	Other specified complication of internal prosthetic devices, implants and grafts, not elsewhere classified	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19739	T88.1	Other complications following immunization, not elsewhere classified	4-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19748	T88.8	Other specified complications of surgical and medical care, not elsewhere classified	4-char nonbill code	Condition	ICD10CM	Valid	Non-standard
443947	45813008	Osteitis deformans associated with another disease	Disorder	Condition	SNOMED	Invalid	Non-standard
444284	69561008	Vaginitis associated with another disease	Disorder	Condition	SNOMED	Invalid	Non-standard
710657	G94.3	Encephalopathy in diseases classified elsewhere	ICD10 code	Condition	ICD10	Valid	Non-standard
710658	J98.7	Respiratory infections, not elsewhere classified	ICD10 code	Condition	ICD10	Valid	Non-standard
710668	R17.0	Hyperbilirubinaemia with mention of jaundice, not elsewhere classified	ICD10 code	Condition	ICD10	Valid	Non-standard
710669	R17.9	Hyperbilirubinaemia without mention of jaundice, not elsewhere classified	ICD10 code	Condition	ICD10	Valid	Non-standard
725252	D84.81	Immunodeficiency due to conditions classified elsewhere	5-char billing code	Condition	ICD10CM	Valid	Non-standard
725266	E74.81	Disorders of glucose transport, not elsewhere classified	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
725315	G96.198	Other disorders of meninges, not elsewhere classified	6-char billing code	Condition	ICD10CM	Valid	Non-standard
725352	J82.8	Pulmonary eosinophilia, not elsewhere classified	4-char nonbill code	Condition	ICD10CM	Valid	Non-standard
725356	J82.89	Other pulmonary eosinophilia, not elsewhere classified	5-char billing code	Condition	ICD10CM	Valid	Non-standard
725357	J84.170	Interstitial lung disease with progressive fibrotic phenotype in diseases classified elsewhere	6-char billing code	Condition	ICD10CM	Valid	Non-standard
725358	J84.178	Other interstitial pulmonary diseases with fibrosis in diseases classified elsewhere	6-char billing code	Condition	ICD10CM	Valid	Non-standard
725383	M24.39	Pathological dislocation of other specified joint, not elsewhere classified	5-char billing code	Condition	ICD10CM	Valid	Non-standard
725387	M24.89	Other specific joint derangement of other specified joint, not elsewhere classified	5-char billing code	Condition	ICD10CM	Valid	Non-standard
725390	M25.69	Stiffness of other specified joint, not elsewhere classified	5-char billing code	Condition	ICD10CM	Valid	Non-standard
725439	N07.A	Hereditary nephropathy, not elsewhere classified with C3 glomerulonephritis	4-char billing code	Condition	ICD10CM	Valid	Non-standard
725458	R51.0	Headache with orthostatic component, not elsewhere classified	4-char billing code	Condition	ICD10CM	Valid	Non-standard
755858	B48.80	Fungal sepsis, not classified elsewhere	ICD10 code	Condition	ICD10GM	Valid	Non-standard
755872	B34.80	Sepsis due to viruses, not classified elsewhere	ICD10 code	Condition	ICD10GM	Valid	Non-standard
755889	B60.80	Sepsis due to protozoa, not classified elsewhere	ICD10 code	Condition	ICD10GM	Valid	Non-standard
755997	U69.04	Pneumonia classified elsewhere, either present at hospital admission or occurring within 48 hours of hospital admission	ICD10 code	Condition	ICD10GM	Valid	Non-standard
778108	URCC	Unclassified Renal Cell Carcinoma (URCC)	Condition	Condition	OncoTree	Valid	Non-standard
785881	B96.83	Acinetobacter baumannii as the cause of diseases classified elsewhere	5-char billing code	Condition	ICD10CM	Valid	Non-standard
785906	E20.811	Secondary hypoparathyroidism in diseases classified elsewhere	6-char billing code	Condition	ICD10CM	Valid	Non-standard
785947	H36.8	Other retinal disorders in diseases classified elsewhere	4-char nonbill code	Condition	ICD10CM	Valid	Non-standard
785958	H36.89	Other retinal disorders in diseases classified elsewhere	5-char billing code	Condition	ICD10CM	Valid	Non-standard
920124	C94.6	Myelodysplastic disease, not elsewhere classified	4-char billing code	Condition	ICD10CM	Valid	Non-standard
920131	H22	Disorders of iris and ciliary body in diseases classified elsewhere	3-char billing code	Condition	ICD10CM	Valid	Non-standard
1102642	E66.89	Other obesity not elsewhere classified	5-char billing code	Condition	ICD10CM	Valid	Non-standard
1102881	C84.4A	Peripheral T-cell lymphoma, not elsewhere classified, in remission	5-char billing code	Condition	ICD10CM	Valid	Non-standard
1326779	P91.811	Neonatal encephalopathy in diseases classified elsewhere	6-char billing code	Condition	ICD10CM	Valid	Non-standard
1403039	A05	Other bacterial foodborne intoxications, not elsewhere classified	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1403613	A28	Other zoonotic bacterial diseases, not elsewhere classified	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1403621	A28.8	Other specified zoonotic bacterial diseases, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1403622	A28.800	Other specified zoonotic bacterial diseases, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1403819	A48	Other bacterial diseases, not elsewhere classified	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1404053	A63	Other predominantly sexually transmitted diseases, not elsewhere classified	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1404228	A85	Other viral encephalitis, not elsewhere classified	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1404255	A88	Other viral infections of central nervous system, not elsewhere classified	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1404284	A93	Other arthropod-borne viral fevers, not elsewhere classified	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1404315	A98	Other viral haemorrhagic fevers, not elsewhere classified	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1404441	B08	Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1404624	B22.7	HIV disease resulting in multiple diseases classified elsewhere	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1404625	B22.700	HIV disease resulting in multiple diseases classified elsewhere	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1404632	B23.2	HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1404633	B23.200	HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1404702	B33	Other viral diseases, not elsewhere classified	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1404711	B33.3	Retrovirus infections, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1404712	B33.300	Retrovirus infections, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1404963	B48	Other mycoses, not elsewhere classified	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1405025	B53.8	Other parasitologically confirmed malaria, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405026	B53.800	Other parasitologically confirmed malaria, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405075	B60	Other protozoal diseases, not elsewhere classified	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1405259	B81	Other intestinal helminthiases, not elsewhere classified	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1405381	B95	Streptococcus and staphylococcus as the cause of diseases classified to other chapters	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1405382	B95.0	Streptococcus, group A, as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405383	B95.000	Streptococcus, group A, as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405384	B95.1	Streptococcus, group B, as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405385	B95.100	Streptococcus, group B, as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405386	B95.2	Streptococcus group D and enterococcus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405387	B95.200	Streptococcus group D and enterococcus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405388	B95.3	Streptococcus pneumoniae as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405389	B95.300	Streptococcus pneumoniae as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405390	B95.4	Other streptococcus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405391	B95.400	Other streptococcus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405392	B95.5	Unspecified streptococcus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405393	B95.500	Unspecified streptococcus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405394	B95.6	Staphylococcus aureus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405395	B95.600	Staphylococcus aureus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405396	B95.7	Other staphylococcus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405397	B95.700	Other staphylococcus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405398	B95.8	Unspecified staphylococcus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405399	B95.800	Unspecified staphylococcus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405400	B96	Other specified bacterial agents as the cause of diseases classified to other chapters	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1405401	B96.0	Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405402	B96.000	Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405403	B96.1	Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405404	B96.100	Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405405	B96.2	Escherichia coli [E. coli] as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405406	B96.200	Escherichia coli [E. coli] as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405407	B96.3	Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405408	B96.300	Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405409	B96.4	Proteus (mirabilis)(morganii) as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405410	B96.400	Proteus (mirabilis)(morganii) as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405411	B96.5	Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405412	B96.500	Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405414	B96.6	Bacillus fragilis [B. fragilis] as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405415	B96.600	Bacillus fragilis [B. fragilis] as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405416	B96.7	Clostridium perfringens [C. perfringens] as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405417	B96.700	Clostridium perfringens [C. perfringens] as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405418	B96.8	Other specified bacterial agents as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405419	B96.800	Other specified bacterial agents as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405421	B97	Viral agents as the cause of diseases classified to other chapters	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1405422	B97.0	Adenovirus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405423	B97.000	Adenovirus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405424	B97.1	Enterovirus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405425	B97.100	Enterovirus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405426	B97.2	Coronavirus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405427	B97.200	Coronavirus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405428	B97.3	Retrovirus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405429	B97.300	Retrovirus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405430	B97.4	Respiratory syncytial virus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405431	B97.400	Respiratory syncytial virus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405432	B97.5	Reovirus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405433	B97.500	Reovirus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405434	B97.6	Parvovirus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405435	B97.600	Parvovirus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405436	B97.7	Papillomavirus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405437	B97.700	Papillomavirus as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405438	B97.8	Other viral agents as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405439	B97.800	Other viral agents as the cause of diseases classified to other chapters	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1406826	C84.4	Peripheral T-cell lymphoma, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1406827	C84.400	Peripheral T-cell lymphoma, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1408408	D53.1	Other megaloblastic anaemias, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1408409	D53.100	Other megaloblastic anaemias, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1408578	D63	Anaemia in chronic diseases classified elsewhere	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1408580	D63.8	Anaemia in other chronic diseases classified elsewhere	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1408810	D76.0	Langerhans' cell histiocytosis, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1408811	D76.000	Langerhans' cell histiocytosis, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1408830	D77	Other disorders of blood and blood-forming organs in diseases classified elsewhere	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1408941	D89	Other disorders involving the immune mechanism, not elsewhere classified	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1408951	D89.8	Other specified disorders involving the immune mechanism, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1408952	D89.800	Other specified disorders involving the immune mechanism, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1409323	E21.1	Secondary hyperparathyroidism, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1409324	E21.100	Secondary hyperparathyroidism, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1409372	E23.3	Hypothalamic dysfunction, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1409373	E23.300	Hypothalamic dysfunction, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1409523	E30	Disorders of puberty, not elsewhere classified	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1409568	E34.2	Ectopic hormone secretion, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1409569	E34.200	Ectopic hormone secretion, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1409570	E34.3	Short stature, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1409571	E34.300	Short stature, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1409593	E35	Disorders of endocrine glands in diseases classified elsewhere	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1409594	E35.0	Disorders of thyroid gland in diseases classified elsewhere	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1409595	E35.1	Disorders of adrenal glands in diseases classified elsewhere	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1409596	E35.8	Disorders of other endocrine glands in diseases classified elsewhere	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1410133	E87.8	Other disorders of electrolyte and fluid balance, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1410134	E87.800	Other disorders of electrolyte and fluid balance, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1410139	E88.0	Disorders of plasma-protein metabolism, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1410140	E88.000	Disorders of plasma-protein metabolism, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1410142	E88.1	Lipodystrophy, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1410144	E88.100	Lipodystrophy, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1410146	E88.2	Lipomatosis, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1410147	E88.200	Lipomatosis, not elsewhere classified	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1410168	E89	Postprocedural endocrine and metabolic disorders, not elsewhere classified	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1410200	E90	Nutritional and metabolic disorders in diseases classified elsewhere	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1410221	F02	Dementia in other diseases classified elsewhere	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1410227	F02.8	Dementia in other specified diseases classified elsewhere	ICD10 code	Condition	ICD10CN	Valid	Non-standard
